B,G,R,label
14,35,217,Red
8,33,165,Red
3,32,166,Red
45,42,146,Red
12,33,201,Red
2,31,188,Red
16,36,180,Red
1,33,202,Red
16,56,208,Red
24,35,186,Red
18,44,198,Red
5,37,135,Red
43,44,222,Red
23,37,224,Red
4,38,192,Red
236,136,0,Blue
239,141,0,Blue
239,107,0,Blue
239,116,0,Blue
239,131,0,Blue
154,50,0,Blue
166,62,0,Blue
176,65,0,Blue
206,87,0,Blue
195,64,0,Blue
118,31,0,Blue
155,56,0,Blue
173,40,0,Blue
197,87,0,Blue
150,35,0,Blue
112,143,18,Green
71,83,2,Green
28,38,7,Green
84,91,32,Green
89,93,0,Green
59,46,2,Green
53,99,33,Green
125,117,0,Green
79,84,26,Green
19,29,5,Green
24,30,4,Green
30,38,7,Green
117,142,12,Green
143,160,34,Green
135,123,1,Green
66,150,198,Yellow
117,151,146,Yellow
119,181,233,Yellow
50,156,223,Yellow
78,149,202,Yellow
80,173,214,Yellow
125,151,158,Yellow
60,134,208,Yellow
134,169,166,Yellow
73,150,203,Yellow
48,122,198,Yellow
87,178,239,Yellow
73,143,217,Yellow
49,125,168,Yellow
37,126,170,Yellow
11,20,4,Black
27,29,10,Black
7,18,3,Black
22,27,7,Black
116,102,84,Black
18,23,6,Black
12,22,6,Black
44,37,16,Black
21,23,6,Black
35,40,27,Black
78,60,33,Black
45,38,21,Black
51,46,30,Black
46,52,45,Black
29,28,10,Black
159,142,108,White
166,156,149,White
217,192,166,White
236,224,202,White
169,147,120,White
201,184,160,White
185,170,158,White
170,161,156,White
211,196,186,White
218,207,204,White
227,208,191,White
238,229,214,White
188,172,158,White
211,188,167,White
220,197,181,White
167,153,138,Gray
165,155,143,Gray
146,137,131,Gray
155,139,124,Gray
158,146,136,Gray
199,185,167,Gray
146,133,107,Gray
184,166,142,Gray
156,146,134,Gray
138,122,107,Gray
129,113,98,Gray
180,159,143,Gray
170,156,139,Gray
185,162,110,Gray
147,131,111,Gray
